,fold,fam,id
97,16s,23s,23s_B.subtilis_domain4
98,16s,23s,23s_B.subtilis_domain6
99,16s,23s,23s_E.coli_domain3
100,16s,23s,23s_E.coli_domain4
101,16s,23s,23s_E.coli_domain6
102,16s,23s,23s_H.pylori_domain3
103,16s,23s,23s_H.pylori_domain4
104,16s,23s,23s_H.pylori_domain6
105,16s,23s,23s_S.aureus_domain3
106,16s,23s,23s_S.aureus_domain4
107,16s,23s,23s_S.aureus_domain6
108,16s,23s,23s_T.thermophilus_domain3
109,16s,23s,23s_T.thermophilus_domain4
110,16s,23s,23s_T.thermophilus_domain6
111,16s,23s,23s_B.subtilis_domain3
112,16s,23s,23s_B.subtilis_domain4
113,16s,23s,23s_B.subtilis_domain6
114,16s,23s,23s_E.coli_domain3
115,16s,23s,23s_E.coli_domain4
116,16s,23s,23s_E.coli_domain6
117,16s,23s,23s_H.pylori_domain3
118,16s,23s,23s_H.pylori_domain4
119,16s,23s,23s_H.pylori_domain6
120,16s,23s,23s_S.aureus_domain3
121,16s,23s,23s_S.aureus_domain4
122,16s,23s,23s_S.aureus_domain6
123,16s,23s,23s_T.thermophilus_domain3
124,16s,23s,23s_T.thermophilus_domain4
125,16s,23s,23s_T.thermophilus_domain6
126,16s,23s,23s_B.subtilis_domain3
127,16s,23s,23s_B.subtilis_domain4
128,16s,23s,23s_B.subtilis_domain6
129,16s,23s,23s_E.coli_domain3
130,16s,23s,23s_E.coli_domain4
131,16s,23s,23s_E.coli_domain6
132,16s,23s,23s_H.pylori_domain3
133,16s,23s,23s_H.pylori_domain4
134,16s,23s,23s_H.pylori_domain6
135,16s,23s,23s_S.aureus_domain3
136,16s,23s,23s_S.aureus_domain4
137,16s,23s,23s_S.aureus_domain6
138,16s,23s,23s_T.thermophilus_domain3
139,16s,23s,23s_T.thermophilus_domain4
140,16s,23s,23s_T.thermophilus_domain6
141,16s,23s,23s_B.subtilis_domain3
142,16s,23s,23s_B.subtilis_domain4
143,16s,23s,23s_B.subtilis_domain6
144,16s,23s,23s_E.coli_domain3
145,16s,23s,23s_E.coli_domain4
146,16s,23s,23s_E.coli_domain6
147,16s,23s,23s_H.pylori_domain3
148,16s,23s,23s_H.pylori_domain4
149,16s,23s,23s_H.pylori_domain6
150,16s,23s,23s_S.aureus_domain3
151,16s,23s,23s_S.aureus_domain4
152,16s,23s,23s_S.aureus_domain6
153,16s,23s,23s_T.thermophilus_domain3
154,16s,23s,23s_T.thermophilus_domain4
155,16s,23s,23s_T.thermophilus_domain6
156,16s,23s,23s_B.subtilis_domain3
157,16s,23s,23s_B.subtilis_domain4
158,16s,23s,23s_B.subtilis_domain6
159,16s,23s,23s_E.coli_domain3
160,16s,23s,23s_E.coli_domain4
161,16s,23s,23s_E.coli_domain6
162,16s,23s,23s_H.pylori_domain3
163,16s,23s,23s_H.pylori_domain4
164,16s,23s,23s_H.pylori_domain6
165,16s,23s,23s_S.aureus_domain3
166,16s,23s,23s_S.aureus_domain4
167,16s,23s,23s_S.aureus_domain6
168,16s,23s,23s_T.thermophilus_domain3
169,16s,23s,23s_T.thermophilus_domain4
170,16s,23s,23s_T.thermophilus_domain6
171,16s,23s,23s_B.subtilis_domain3
172,16s,23s,23s_B.subtilis_domain4
173,16s,23s,23s_B.subtilis_domain6
174,16s,23s,23s_E.coli_domain3
175,16s,23s,23s_E.coli_domain4
176,16s,23s,23s_E.coli_domain6
177,16s,23s,23s_H.pylori_domain3
178,16s,23s,23s_H.pylori_domain4
179,16s,23s,23s_H.pylori_domain6
180,16s,23s,23s_S.aureus_domain3
181,16s,23s,23s_S.aureus_domain4
182,16s,23s,23s_S.aureus_domain6
183,16s,23s,23s_T.thermophilus_domain3
184,16s,23s,23s_T.thermophilus_domain4
185,16s,23s,23s_T.thermophilus_domain6
186,16s,23s,23s_B.subtilis_domain3
187,16s,23s,23s_B.subtilis_domain4
188,16s,23s,23s_B.subtilis_domain6
189,16s,23s,23s_E.coli_domain3
190,16s,23s,23s_E.coli_domain4
191,16s,23s,23s_E.coli_domain6
192,16s,23s,23s_H.pylori_domain3
193,16s,23s,23s_H.pylori_domain4
194,16s,23s,23s_H.pylori_domain6
195,16s,23s,23s_S.aureus_domain3
196,16s,23s,23s_S.aureus_domain4
197,16s,23s,23s_S.aureus_domain6
198,16s,23s,23s_T.thermophilus_domain3
199,16s,23s,23s_T.thermophilus_domain4
200,16s,23s,23s_T.thermophilus_domain6
201,16s,23s,23s_B.subtilis_domain3
202,16s,23s,23s_B.subtilis_domain4
203,16s,23s,23s_B.subtilis_domain6
204,16s,23s,23s_E.coli_domain3
205,16s,23s,23s_E.coli_domain4
206,16s,23s,23s_E.coli_domain6
207,16s,23s,23s_H.pylori_domain3
208,16s,23s,23s_H.pylori_domain4
209,16s,23s,23s_H.pylori_domain6
210,16s,23s,23s_S.aureus_domain3
211,16s,23s,23s_S.aureus_domain4
212,16s,23s,23s_S.aureus_domain6
213,16s,23s,23s_T.thermophilus_domain3
214,16s,23s,23s_T.thermophilus_domain4
215,16s,23s,23s_T.thermophilus_domain6
216,16s,23s,23s_B.subtilis_domain3
217,16s,23s,23s_B.subtilis_domain4
218,16s,23s,23s_B.subtilis_domain6
219,16s,23s,23s_E.coli_domain3
220,16s,23s,23s_E.coli_domain4
221,16s,23s,23s_E.coli_domain6
222,16s,23s,23s_H.pylori_domain3
223,16s,23s,23s_H.pylori_domain4
224,16s,23s,23s_H.pylori_domain6
225,16s,23s,23s_S.aureus_domain3
226,16s,23s,23s_S.aureus_domain4
227,16s,23s,23s_S.aureus_domain6
228,16s,23s,23s_T.thermophilus_domain3
229,16s,23s,23s_T.thermophilus_domain4
230,16s,23s,23s_T.thermophilus_domain6
231,16s,23s,23s_B.subtilis_domain3
232,16s,23s,23s_B.subtilis_domain4
233,16s,23s,23s_B.subtilis_domain6
234,16s,23s,23s_E.coli_domain3
235,16s,23s,23s_E.coli_domain4
236,16s,23s,23s_E.coli_domain6
237,16s,23s,23s_H.pylori_domain3
238,16s,23s,23s_H.pylori_domain4
239,16s,23s,23s_H.pylori_domain6
240,16s,23s,23s_S.aureus_domain3
241,16s,23s,23s_S.aureus_domain4
242,16s,23s,23s_S.aureus_domain6
243,16s,23s,23s_T.thermophilus_domain3
244,16s,23s,23s_T.thermophilus_domain4
245,16s,23s,23s_T.thermophilus_domain6
246,16s,23s,23s_B.subtilis_domain3
247,16s,23s,23s_B.subtilis_domain4
248,16s,23s,23s_B.subtilis_domain6
249,16s,23s,23s_E.coli_domain3
250,16s,23s,23s_E.coli_domain4
251,16s,23s,23s_E.coli_domain6
252,16s,23s,23s_H.pylori_domain3
253,16s,23s,23s_H.pylori_domain4
254,16s,23s,23s_H.pylori_domain6
255,16s,23s,23s_S.aureus_domain3
256,16s,23s,23s_S.aureus_domain4
257,16s,23s,23s_S.aureus_domain6
258,16s,23s,23s_T.thermophilus_domain3
259,16s,23s,23s_T.thermophilus_domain4
260,16s,23s,23s_T.thermophilus_domain6
261,16s,23s,23s_B.subtilis_domain3
262,16s,23s,23s_B.subtilis_domain4
263,16s,23s,23s_B.subtilis_domain6
264,16s,23s,23s_E.coli_domain3
265,16s,23s,23s_E.coli_domain4
266,16s,23s,23s_E.coli_domain6
267,16s,23s,23s_H.pylori_domain3
268,16s,23s,23s_H.pylori_domain4
269,16s,23s,23s_H.pylori_domain6
270,16s,23s,23s_S.aureus_domain3
271,16s,23s,23s_S.aureus_domain4
272,16s,23s,23s_S.aureus_domain6
273,16s,23s,23s_T.thermophilus_domain3
274,16s,23s,23s_T.thermophilus_domain4
275,16s,23s,23s_T.thermophilus_domain6
276,16s,23s,23s_B.subtilis_domain3
277,16s,23s,23s_B.subtilis_domain4
278,16s,23s,23s_B.subtilis_domain6
279,16s,23s,23s_E.coli_domain3
280,16s,23s,23s_E.coli_domain4
281,16s,23s,23s_E.coli_domain6
282,16s,23s,23s_H.pylori_domain3
283,16s,23s,23s_H.pylori_domain4
284,16s,23s,23s_H.pylori_domain6
285,16s,23s,23s_S.aureus_domain3
286,16s,23s,23s_S.aureus_domain4
287,16s,23s,23s_S.aureus_domain6
288,16s,23s,23s_T.thermophilus_domain3
289,16s,23s,23s_T.thermophilus_domain4
290,16s,23s,23s_T.thermophilus_domain6
291,16s,23s,23s_B.subtilis_domain3
292,16s,23s,23s_B.subtilis_domain4
293,16s,23s,23s_B.subtilis_domain6
294,16s,23s,23s_E.coli_domain3
295,16s,23s,23s_E.coli_domain4
296,16s,23s,23s_E.coli_domain6
297,16s,23s,23s_H.pylori_domain3
298,16s,23s,23s_H.pylori_domain4
299,16s,23s,23s_H.pylori_domain6
300,16s,23s,23s_S.aureus_domain3
301,16s,23s,23s_S.aureus_domain4
302,16s,23s,23s_S.aureus_domain6
303,16s,23s,23s_T.thermophilus_domain3
304,16s,23s,23s_T.thermophilus_domain4
305,16s,23s,23s_T.thermophilus_domain6
306,16s,23s,23s_B.subtilis_domain3
307,16s,23s,23s_B.subtilis_domain4
308,16s,23s,23s_B.subtilis_domain6
309,16s,23s,23s_E.coli_domain3
310,16s,23s,23s_E.coli_domain4
311,16s,23s,23s_E.coli_domain6
312,16s,23s,23s_H.pylori_domain3
313,16s,23s,23s_H.pylori_domain4
314,16s,23s,23s_H.pylori_domain6
315,16s,23s,23s_S.aureus_domain3
316,16s,23s,23s_S.aureus_domain4
317,16s,23s,23s_S.aureus_domain6
318,16s,23s,23s_T.thermophilus_domain3
319,16s,23s,23s_T.thermophilus_domain4
320,16s,23s,23s_T.thermophilus_domain6
321,16s,23s,23s_B.subtilis_domain3
322,16s,23s,23s_B.subtilis_domain4
323,16s,23s,23s_B.subtilis_domain6
324,16s,23s,23s_E.coli_domain3
325,16s,23s,23s_E.coli_domain4
326,16s,23s,23s_E.coli_domain6
327,16s,23s,23s_H.pylori_domain3
328,16s,23s,23s_H.pylori_domain4
329,16s,23s,23s_H.pylori_domain6
330,16s,23s,23s_S.aureus_domain3
331,16s,23s,23s_S.aureus_domain4
332,16s,23s,23s_S.aureus_domain6
333,16s,23s,23s_T.thermophilus_domain3
334,16s,23s,23s_T.thermophilus_domain4
335,16s,23s,23s_T.thermophilus_domain6
336,16s,23s,23s_B.subtilis_domain3
337,16s,23s,23s_B.subtilis_domain4
338,16s,23s,23s_B.subtilis_domain6
339,16s,23s,23s_E.coli_domain3
340,16s,23s,23s_E.coli_domain4
341,16s,23s,23s_E.coli_domain6
342,16s,23s,23s_H.pylori_domain3
343,16s,23s,23s_H.pylori_domain4
344,16s,23s,23s_H.pylori_domain6
345,16s,23s,23s_S.aureus_domain3
346,16s,23s,23s_S.aureus_domain4
347,16s,23s,23s_S.aureus_domain6
348,16s,23s,23s_T.thermophilus_domain3
349,16s,23s,23s_T.thermophilus_domain4
350,16s,23s,23s_T.thermophilus_domain6
351,16s,23s,23s_B.subtilis_domain3
352,16s,23s,23s_B.subtilis_domain4
353,16s,23s,23s_B.subtilis_domain6
354,16s,23s,23s_E.coli_domain3
355,16s,23s,23s_E.coli_domain4
356,16s,23s,23s_E.coli_domain6
357,16s,23s,23s_H.pylori_domain3
358,16s,23s,23s_H.pylori_domain4
359,16s,23s,23s_H.pylori_domain6
360,16s,23s,23s_S.aureus_domain3
361,16s,23s,23s_S.aureus_domain4
362,16s,23s,23s_S.aureus_domain6
363,16s,23s,23s_T.thermophilus_domain3
364,16s,23s,23s_T.thermophilus_domain4
365,16s,23s,23s_T.thermophilus_domain6
366,16s,23s,23s_B.subtilis_domain3
367,16s,23s,23s_B.subtilis_domain4
368,16s,23s,23s_B.subtilis_domain6
369,16s,23s,23s_E.coli_domain3
370,16s,23s,23s_E.coli_domain4
371,16s,23s,23s_E.coli_domain6
372,16s,23s,23s_H.pylori_domain3
373,16s,23s,23s_H.pylori_domain4
374,16s,23s,23s_H.pylori_domain6
375,16s,23s,23s_S.aureus_domain3
376,16s,23s,23s_S.aureus_domain4
377,16s,23s,23s_S.aureus_domain6
378,16s,23s,23s_T.thermophilus_domain3
379,16s,23s,23s_T.thermophilus_domain4
380,16s,23s,23s_T.thermophilus_domain6
381,16s,23s,23s_B.subtilis_domain3
382,16s,23s,23s_B.subtilis_domain4
383,16s,23s,23s_B.subtilis_domain6
384,16s,23s,23s_E.coli_domain3
385,16s,23s,23s_E.coli_domain4
386,16s,23s,23s_E.coli_domain6
387,16s,23s,23s_H.pylori_domain3
388,16s,23s,23s_H.pylori_domain4
389,16s,23s,23s_H.pylori_domain6
390,16s,23s,23s_S.aureus_domain3
391,16s,23s,23s_S.aureus_domain4
392,16s,23s,23s_S.aureus_domain6
393,16s,23s,23s_T.thermophilus_domain3
394,16s,23s,23s_T.thermophilus_domain4
395,16s,23s,23s_T.thermophilus_domain6
396,16s,23s,23s_B.subtilis_domain3
397,16s,23s,23s_B.subtilis_domain4
398,16s,23s,23s_B.subtilis_domain6
399,16s,23s,23s_E.coli_domain3
400,16s,23s,23s_E.coli_domain4
401,16s,23s,23s_E.coli_domain6
402,16s,23s,23s_H.pylori_domain3
403,16s,23s,23s_H.pylori_domain4
404,16s,23s,23s_H.pylori_domain6
405,16s,23s,23s_S.aureus_domain3
406,16s,23s,23s_S.aureus_domain4
407,16s,23s,23s_S.aureus_domain6
408,16s,23s,23s_T.thermophilus_domain3
409,16s,23s,23s_T.thermophilus_domain4
410,16s,23s,23s_T.thermophilus_domain6
411,16s,23s,23s_B.subtilis_domain3
412,16s,23s,23s_B.subtilis_domain4
413,16s,23s,23s_B.subtilis_domain6
414,16s,23s,23s_E.coli_domain3
415,16s,23s,23s_E.coli_domain4
416,16s,23s,23s_E.coli_domain6
417,16s,23s,23s_H.pylori_domain3
418,16s,23s,23s_H.pylori_domain4
419,16s,23s,23s_H.pylori_domain6
420,16s,23s,23s_S.aureus_domain3
421,16s,23s,23s_S.aureus_domain4
422,16s,23s,23s_S.aureus_domain6
423,16s,23s,23s_T.thermophilus_domain3
424,16s,23s,23s_T.thermophilus_domain4
425,16s,23s,23s_T.thermophilus_domain6
426,16s,23s,23s_B.subtilis_domain3
427,16s,23s,23s_B.subtilis_domain4
428,16s,23s,23s_B.subtilis_domain6
429,16s,23s,23s_E.coli_domain3
430,16s,23s,23s_E.coli_domain4
431,16s,23s,23s_E.coli_domain6
432,16s,23s,23s_H.pylori_domain3
433,16s,23s,23s_H.pylori_domain4
434,16s,23s,23s_H.pylori_domain6
435,16s,23s,23s_S.aureus_domain3
436,16s,23s,23s_S.aureus_domain4
437,16s,23s,23s_S.aureus_domain6
438,16s,23s,23s_T.thermophilus_domain3
439,16s,23s,23s_T.thermophilus_domain4
440,16s,23s,23s_T.thermophilus_domain6
441,16s,23s,23s_B.subtilis_domain3
442,16s,23s,23s_B.subtilis_domain4
443,16s,23s,23s_B.subtilis_domain6
444,16s,23s,23s_E.coli_domain3
445,16s,23s,23s_E.coli_domain4
446,16s,23s,23s_E.coli_domain6
447,16s,23s,23s_H.pylori_domain3
448,16s,23s,23s_H.pylori_domain4
449,16s,23s,23s_H.pylori_domain6
450,16s,23s,23s_S.aureus_domain3
451,16s,23s,23s_S.aureus_domain4
452,16s,23s,23s_S.aureus_domain6
453,16s,23s,23s_T.thermophilus_domain3
454,16s,23s,23s_T.thermophilus_domain4
455,16s,23s,23s_T.thermophilus_domain6
456,16s,23s,23s_B.subtilis_domain3
457,16s,23s,23s_B.subtilis_domain4
458,16s,23s,23s_B.subtilis_domain6
459,16s,23s,23s_E.coli_domain3
460,16s,23s,23s_E.coli_domain4
461,16s,23s,23s_E.coli_domain6
462,16s,23s,23s_H.pylori_domain3
463,16s,23s,23s_H.pylori_domain4
464,16s,23s,23s_H.pylori_domain6
465,16s,23s,23s_S.aureus_domain3
466,16s,5s,5s_Acanthamoeba-castellanii-1
467,16s,5s,5s_Acetobacter-sp.-1
468,16s,5s,5s_Acheta-domesticus-1
469,16s,5s,5s_Achromobacter-cycloclastes-1
470,16s,5s,5s_Acidiphilium-acidophilum-1
471,16s,5s,5s_Acidovorax-delafieldii-1
472,16s,5s,5s_Acinetospora-crinita-1
473,16s,5s,5s_Acremonium-chrysogenum-1
474,16s,5s,5s_Actinokineospora-riparia-1
475,16s,5s,5s_Aeromonas-media-1
476,16s,5s,5s_Aeromonas-salmonicida-1
477,16s,5s,5s_Agrobacterium-tumefaciens-2
478,16s,5s,5s_Agrobacterium-tumefaciens-8
479,16s,5s,5s_Agrobacterium-vitis-1
480,16s,5s,5s_Alcaligenes-sp.-1
481,16s,5s,5s_Ambystoma-salmoides-1
482,16s,5s,5s_Amycolatopsis-lactamdurans-1
483,16s,5s,5s_Amycolatopsis-methanolica-1
484,16s,5s,5s_Amycolatopsis-orientalis-1
485,16s,5s,5s_Ancylobacter-aquaticus-1
486,16s,5s,5s_Andrias-davidianus-1
487,16s,5s,5s_Andrias-japonicus-1
488,16s,5s,5s_Andrias-japonicus-2
489,16s,5s,5s_Aplysia-kurodai-1
490,16s,5s,5s_Arabidopsis-thaliana-1
491,16s,5s,5s_Artemia-salina-1
492,16s,5s,5s_Ascaris-lumbricoides-1
493,16s,5s,5s_Asellus-aquaticus-1
494,16s,5s,5s_Auricularia-auricula-judae-1
495,16s,5s,5s_Azospirillum-lipoferum-1
496,16s,5s,5s_Azotobacter-vinelandii-1
497,16s,5s,5s_Bacillus-anthracis-10
498,16s,5s,5s_Bacillus-anthracis-4
499,16s,5s,5s_Bacillus-anthracis-9
500,16s,5s,5s_Bacillus-cereus-7
501,16s,5s,5s_Bacillus-cereus-8
502,16s,5s,5s_Bacillus-clausii-1
503,16s,5s,5s_Bacillus-clausii-2
504,16s,5s,5s_Bacillus-clausii-3
505,16s,5s,5s_Bacillus-halodurans-2
506,16s,5s,5s_Bacillus-halodurans-3
507,16s,5s,5s_Bacillus-halodurans-5
508,16s,5s,5s_Bacillus-halodurans-6
509,16s,5s,5s_Bacillus-licheniformis-5
510,16s,5s,5s_Bacillus-megaterium-2
511,16s,5s,5s_Bacillus-methanolicus-7
512,16s,5s,5s_Bacillus-subtilis-5
513,16s,5s,5s_Bacillus-thuringiensis-3
514,16s,5s,5s_Bacillus-thuringiensis-4
515,16s,5s,5s_Bacillus-thuringiensis-5
516,16s,5s,5s_Bacillus-thuringiensis-6
517,16s,5s,5s_Bacteroides-capillosus-1
518,16s,5s,5s_Bacteroides-fragilis-3
519,16s,5s,5s_Bacteroides-fragilis-4
520,16s,5s,5s_Bartonella-quintana-2
521,16s,5s,5s_Basidiobolus-magnus-1
522,16s,5s,5s_Batrachospermum-ectocarpum-1
523,16s,5s,5s_Beggiatoa-alba-1
524,16s,5s,5s_Beta-vulgaris-1
525,16s,5s,5s_Bifidobacterium-longum-3
526,16s,5s,5s_Blastopirellula-marina-1
527,16s,5s,5s_Bordetella-parapertussis-1
528,16s,5s,5s_Bos-taurus-1
529,16s,5s,5s_Brucella-abortus-1
530,16s,5s,5s_Brucella-suis-2
531,16s,5s,5s_Brugia-malayi-1
532,16s,5s,5s_Buchnera-aphidicola-1
533,16s,5s,5s_Bugula-neritina-1
534,16s,5s,5s_Bullera-alba-1
535,16s,5s,5s_Burkholderia-cepacia-1
536,16s,5s,5s_Burkholderia-pseudomallei-1
537,16s,5s,5s_Bursaphelenchus-mucronatus-1
538,16s,5s,5s_Calanus-finmarchicus-1
539,16s,5s,5s_Calliphora-vicina-1
540,16s,5s,5s_Candida-albicans-1
541,16s,5s,5s_Candida-antarctica-1
542,16s,5s,5s_Candida-azyma-1
543,16s,5s,5s_Candida-glabrata-1
544,16s,5s,5s_Candida-magnoliae-1
545,16s,5s,5s_Candida-rugopelliculosa-1
546,16s,5s,5s_Caulobacter-crescentus-2
547,16s,5s,5s_Caulobacter-sp.-3
548,16s,5s,5s_Cerastoderma-edule-1
549,16s,5s,5s_Chlamydia-muridarum-1
550,16s,5s,5s_Chlamydia-trachomatis-1
551,16s,5s,5s_Chlamydophila-pneumoniae-1
552,16s,5s,5s_Chlorella-sp.-1
553,16s,5s,5s_Chlorobium-limicola-1
554,16s,5s,5s_Chlorobium-phaeobacteroides-1
555,16s,5s,5s_Chrysaora-quinquecirrha-1
556,16s,5s,5s_Clostridium-acetobutylicum-5
557,16s,5s,5s_Clostridium-butyricum-2
558,16s,5s,5s_Coleosporium-tussilaginis-1
559,16s,5s,5s_Colwellia-hadaliensis-1
560,16s,5s,5s_Colwellia-psychrerythraea-1
561,16s,5s,5s_Comamonas-terrigena-2
562,16s,5s,5s_Comamonas-testosteroni-1
563,16s,5s,5s_Corynebacterium-xerosis-2
564,16s,5s,5s_Coxiella-burnetii-1
565,16s,5s,5s_Coxiella-burnetii-2
566,16s,5s,5s_Cryptobranchus-alleganiensis-1
567,16s,5s,5s_Cryptococcus-humicola-1
568,16s,5s,5s_Cryptococcus-neoformans-1
569,16s,5s,5s_Cunninghamella-elegans-1
570,16s,5s,5s_Curtobacterium-citreum-1
571,16s,5s,5s_Cyanidium-caldarium-1
572,16s,5s,5s_Cycas-revoluta-1
573,16s,5s,5s_Deinococcus-radiodurans-1
574,16s,5s,5s_Deinococcus-radiodurans-2
575,16s,5s,5s_Diplonema-papillatum-1
576,16s,5s,5s_Dipsacomyces-acuminosporus-1
577,16s,5s,5s_Distigma-proteus-1
578,16s,5s,5s_Drosophila-erecta-1
579,16s,5s,5s_Drosophila-melanogaster-1
580,16s,5s,5s_Drosophila-simulans-1
581,16s,5s,5s_Dryopteris-acuminata-1
582,16s,5s,5s_Dugesia-japonica-2
583,16s,5s,5s_E_glandulE
584,16s,5s,5s_Efibulobasidium-albescens-1
585,16s,5s,5s_Eimeria-tenella-1
586,16s,5s,5s_Eisenia-bicyclis-1
587,16s,5s,5s_Emericella-nidulans-5
588,16s,5s,5s_Emericella-nidulans-6
589,16s,5s,5s_Enchytraeus-albidus-1
590,16s,5s,5s_Entosiphon-sulcatum-1
591,16s,5s,5s_Equisetum-arvense-1
592,16s,5s,5s_Erysipelothrix-rhusiopathiae-2
593,16s,5s,5s_Erysipelothrix-rhusiopathiae-3
594,16s,5s,5s_Erythromicrobium-ramosum-1
595,16s,5s,5s_Esch_coli5B
596,16s,5s,5s_Escherichia-coli-10
597,16s,5s,5s_Escherichia-coli-11
598,16s,5s,5s_Escherichia-coli-13
599,16s,5s,5s_Escherichia-coli-4
600,16s,5s,5s_Euglena-gracilis-2
601,16s,5s,5s_Euplotes-aediculatus-1
602,16s,5s,5s_Euplotes-eurystomus-1
603,16s,5s,5s_Euplotes-vannus-1
604,16s,5s,5s_Eurypelma-californica-1
605,16s,5s,5s_Fellomyces-penicillatus-1
606,16s,5s,5s_Filobasidiella-depauperata-1
607,16s,5s,5s_Filobasidiella-neoformans-1
608,16s,5s,5s_Frankia-sp.-2
609,16s,5s,5s_Fusarium-asiaticum-2
610,16s,5s,5s_Fusarium-asiaticum-5
611,16s,5s,5s_Fusarium-cerealis-4
612,16s,5s,5s_Fusarium-cerealis-6
613,16s,5s,5s_Fusarium-culmorum-2
614,16s,5s,5s_Fusarium-culmorum-5
615,16s,5s,5s_Fusarium-lunulosporum-1
616,16s,5s,5s_Fusarium-lunulosporum-10
617,16s,5s,5s_Fusarium-lunulosporum-9
618,16s,5s,5s_Fusarium-pseudograminearum-2
619,16s,5s,5s_Fusarium-pseudograminearum-5
620,16s,5s,5s_Fusarium-pseudograminearum-6
621,16s,5s,5s_Fusarium-sporotrichioides-1
622,16s,5s,5s_Fusobacterium-mortiferum-1
623,16s,5s,5s_Fusobacterium-mortiferum-2
