run_name,arc_features,arc_encoder_blocks,arc_num_params,arc_latent_volume,arc_num_conv,arc_skip,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
pseudop_nc_2_n8_1_n16_2_skip1,"[4, 8, 8, 8, 16, 16]",5,8885,64.0,2,1,0.04563147723674774,0.11119022779166698,0.08722046203911304,0.8151102281724248,0.9394423308505966,0.874917232310914,0.9310304968354248,0.8181632681898572,0.8581810910846889,0.0,0.0,0.0
pseudop_nc_2_n8_1_n16_2_skip0,"[4, 8, 8, 8, 16, 16]",5,7493,64.0,2,0,0.10493636478980382,0.16117102652788162,0.12300672382116318,0.7219279755485526,0.8652208134367565,0.8305977069414,0.847806585486112,0.7316291649645057,0.809780588080123,0.0,0.0,0.0
pseudop_nc_2_n8_0_n16_2_skip1,"[4, 8, 8, 8, 16, 16]",5,8885,64.0,2,1,0.04499507819612821,0.11828002519905567,0.08091127127408981,0.8083482455640332,0.9400322611742233,0.8830967457662366,0.931662957845903,0.8076661395712712,0.8669617258848347,0.0,0.0,0.0
pseudop_nc_2_n8_0_n16_2_skip0,"[4, 8, 8, 8, 16, 16]",5,7493,64.0,2,0,0.10834728181362152,0.16022119671106339,0.13314161822199821,0.7211231291104732,0.8597329571757407,0.8108311393510456,0.8430007528346005,0.726698717513673,0.7921855708528813,0.0,0.0,0.0
pseudop_nc_2_n8_1_n16_1_skip1,"[4, 8, 8, 16]",3,3797,256.0,2,1,0.06775540225207806,0.14360768161714077,0.12182296812534332,0.7553198649037955,0.9074299869528706,0.8143556544375081,0.8946949250520917,0.7566317649285356,0.7875455672324543,0.0,0.0,0.0
pseudop_nc_2_n8_1_n16_1_skip0,"[4, 8, 8, 16]",3,3365,256.0,2,0,0.09395987764000893,0.1636030487716198,0.1304679550230503,0.6980245813657749,0.8599725900103494,0.782469184604801,0.837524403002644,0.6808559963021654,0.7564019003877556,0.0,0.0,0.0
pseudop_nc_2_n8_0_n16_1_skip1,"[4, 8, 8, 16]",3,3797,256.0,2,1,0.06756669469177723,0.14756973832845688,0.11895865574479103,0.7517815131931697,0.9069992687549404,0.8161916034610417,0.8939563386047172,0.7466616341112817,0.7937249517334678,0.0,0.0,0.0
pseudop_nc_2_n8_0_n16_1_skip0,"[4, 8, 8, 16]",3,3365,256.0,2,0,0.09460356930891672,0.15853363648056984,0.14148586243391037,0.7022693910156117,0.8589830865007223,0.7653468630835659,0.8372213841891667,0.6983885429878967,0.7359430051088062,0.0,0.0,0.0
pseudop_nc_2_n8_1_n16_0_skip1,"[4, 8]",1,677,512.0,2,1,0.11371500367919604,0.1605241447687149,0.14036043360829353,0.7237388565547608,0.8362144507677918,0.7811286647608544,0.808529861976263,0.69811064499405,0.7454552041856962,0.0,0.0,0.0
pseudop_nc_2_n8_1_n16_0_skip0,"[4, 8]",1,629,512.0,2,0,0.11911633511384329,0.16088417172431946,0.14966559037566185,0.723038715907714,0.830298190504253,0.767164013843504,0.7977996527141887,0.6981274308595699,0.7181005938295462,0.0,0.0,0.0
pseudop_nc_2_n8_0_n16_0_skip1,"[4, 8]",1,677,512.0,2,1,0.1135411078731219,0.16018570959568024,0.14041784033179283,0.7228517608195035,0.8362382873317382,0.7839552967092328,0.8085545135891575,0.7017512531752298,0.7467848898329374,0.0,0.0,0.0
pseudop_nc_2_n8_0_n16_0_skip0,"[4, 8]",1,629,512.0,2,0,0.1198550504942735,0.1676296889781952,0.15091492980718613,0.7085123986713113,0.8271906640944873,0.7684617874184119,0.7953925739984722,0.6885540877918175,0.7156815535360888,0.0,0.0,0.0
pseudop_nc_1_n8_1_n16_2_skip1,"[4, 8, 8, 8, 16, 16]",5,5021,64.0,1,1,0.05305037448803584,0.10644151642918587,0.09646953083574772,0.8166529969403363,0.9297192546513543,0.8589978984408674,0.9198364313217333,0.8189833662888839,0.8400084201844134,0.0,0.0,0.0
pseudop_nc_1_n8_1_n16_2_skip0,"[4, 8, 8, 8, 16, 16]",5,3629,64.0,1,0,0.10380178789297739,0.13985695876181126,0.10731987655162811,0.7309376243290103,0.8425396128946443,0.8283995594545814,0.8091210523187823,0.7005286664957516,0.7941166255320863,0.0,0.0,0.0
pseudop_nc_1_n8_0_n16_2_skip1,"[4, 8, 8, 8, 16, 16]",5,5021,64.0,1,1,0.05308422073721886,0.11851223930716515,0.10252553783357143,0.7954315541885252,0.9295901214550348,0.8467402622792845,0.919616861077955,0.7975420782950201,0.8291610255661683,0.0,0.0,0.0
pseudop_nc_1_n8_0_n16_2_skip0,"[4, 8, 8, 8, 16, 16]",5,3629,64.0,1,0,0.09740136712789535,0.12766999192535877,0.10235933773219585,0.7590175554340645,0.8463997184855412,0.8396310065229666,0.8095159234904012,0.7326314439248885,0.8015931995836058,0.0,0.0,0.0
pseudop_nc_1_n8_1_n16_1_skip1,"[4, 8, 8, 16]",3,1997,256.0,1,1,0.07829651037851969,0.13977574557065964,0.11843768134713173,0.7612297742034935,0.8902119947568998,0.8119452862042212,0.874615784022761,0.7546335563659581,0.7904414731695295,0.0,0.0,0.0
pseudop_nc_1_n8_1_n16_1_skip0,"[4, 8, 8, 16]",3,1565,256.0,1,0,0.11206515853603681,0.17668361589312553,0.157566137611866,0.6846192782708073,0.8295069770805115,0.7233505402754814,0.802793654226099,0.6557506180167526,0.6835007049154312,0.0,0.0,0.0
pseudop_nc_1_n8_0_n16_1_skip1,"[4, 8, 8, 16]",3,1997,256.0,1,1,0.07824558466672897,0.14443285576999187,0.12591871619224548,0.7571617968668419,0.890707713807377,0.7956739432061821,0.8753694714678601,0.751549506035307,0.7721862953944574,0.0,0.0,0.0
pseudop_nc_1_n8_0_n16_1_skip0,"[4, 8, 8, 16]",3,1565,256.0,1,0,0.11133483995993933,0.16688917949795723,0.1496252343058586,0.6861817917824755,0.8311241271268536,0.7400669354194235,0.8039406824375046,0.6622581607278557,0.7078160565133367,0.0,0.0,0.0
pseudop_nc_1_n8_1_n16_0_skip1,"[4, 8]",1,341,512.0,1,1,0.13305175105730693,0.17365719377994537,0.16619887575507164,0.6962171188356066,0.8013497396915079,0.6905065539271513,0.7691962801921868,0.6734390878239149,0.6561122768141814,0.0,0.0,0.0
pseudop_nc_1_n8_1_n16_0_skip0,"[4, 8]",1,293,512.0,1,0,0.1373203456401825,0.1717524379491806,0.15779127180576324,0.6952882776696988,0.7961995235367528,0.7363511310351496,0.7599525653354091,0.6603734750874577,0.6958497828325303,0.0,0.0,0.0
pseudop_nc_1_n8_0_n16_0_skip1,"[4, 8]",1,341,512.0,1,1,0.13322181428472202,0.17484478652477264,0.1662047579884529,0.6957070745976545,0.8021870127758294,0.6921012536308824,0.7703061862760339,0.672001079361156,0.6584835383617251,0.0,0.0,0.0
pseudop_nc_1_n8_0_n16_0_skip0,"[4, 8]",1,293,512.0,1,0,0.13727955023447672,0.1721969023346901,0.15843214467167854,0.6919625318190824,0.7958616363112194,0.7351361814400057,0.7597360594830443,0.6555305668295035,0.6945681784175803,0.0,0.0,0.0
pseudop_nc_2_n4_2_n8_3_skip1,"[4, 4, 4, 8, 8, 8]",5,3365,32.0,2,1,0.06945934556424618,0.13425315916538239,0.09725829027593136,0.7820639423978006,0.9057779477021217,0.8540518115077257,0.8923289588201595,0.7789424531512354,0.8370182442671477,0.0,0.0,0.0
pseudop_nc_2_n4_2_n8_3_skip0,"[4, 4, 4, 8, 8, 8]",5,2837,32.0,2,0,0.11552968844771386,0.16648193076252937,0.13290307112038136,0.7030114919568574,0.8348697046987394,0.7911219761302991,0.8093077432931337,0.6896260885588031,0.7640232686361023,0.0,0.0,0.0
pseudop_nc_2_n4_1_n8_3_skip1,"[4, 4, 8, 8, 8]",4,3077,64.0,2,1,0.06761591620743275,0.13053227961063385,0.10724066942930222,0.7801466157223675,0.9078489073554837,0.8468025609318173,0.8950607466246139,0.7764065952076458,0.8274865041247204,0.0,0.0,0.0
pseudop_nc_2_n4_1_n8_3_skip0,"[4, 4, 8, 8, 8]",4,2597,64.0,2,0,0.08921736602981885,0.148441843688488,0.12838412076234818,0.7223582305477441,0.8672743502333037,0.7873492671746405,0.8473475657684022,0.719000855559935,0.7503943732967159,0.0,0.0,0.0
pseudop_nc_2_n4_0_n8_3_skip1,"[4, 8, 8, 8]",3,2789,128.0,2,1,0.10925816297531128,0.18509574234485626,0.15205617249011993,0.7220137573807148,0.8822780397659782,0.7854741478696915,0.8699808429442969,0.7226016401483131,0.7725234005941768,0.0,0.0,0.0
pseudop_nc_2_n4_0_n8_3_skip0,"[4, 8, 8, 8]",3,2357,128.0,2,0,0.10470889533559481,0.1646410971879959,0.13563580065965652,0.6890198757800199,0.8397519513180552,0.7458760985768285,0.8157947662386958,0.6764819417193801,0.7193420943465927,0.0,0.0,0.0
pseudop_nc_2_n4_2_n8_2_skip1,"[4, 4, 4, 8, 8]",4,2309,64.0,2,1,0.07514154190818469,0.1325816921889782,0.10695197246968746,0.7840203409237514,0.8970848533691359,0.8380548035901756,0.882701258007441,0.778450800011274,0.8182532199881885,0.0,0.0,0.0
pseudop_nc_2_n4_2_n8_2_skip0,"[4, 4, 4, 8, 8]",4,1973,64.0,2,0,0.112562279154857,0.15928723849356174,0.13772295229136944,0.7182467448228964,0.8390498564299353,0.7856913349337302,0.8125795638457746,0.6992017769895814,0.7506109008901345,0.0,0.0,0.0
pseudop_nc_2_n4_1_n8_2_skip1,"[4, 4, 8, 8]",3,2021,128.0,2,1,0.08315238108237584,0.147333400323987,0.12324303202331066,0.753271061356214,0.8845490570343106,0.8127567487525561,0.8669569510474376,0.7417798378475207,0.7862028063760119,0.0,0.0,0.0
pseudop_nc_2_n4_1_n8_2_skip0,"[4, 4, 8, 8]",3,1733,128.0,2,0,0.11634594599405924,0.19039109349250793,0.20193633809685707,0.6612578513325215,0.8378207841795938,0.6498784874096355,0.8138013713860953,0.651062651266799,0.6200774194451748,0.0,0.0,0.0
pseudop_nc_2_n4_0_n8_2_skip1,"[4, 8, 8]",2,1733,256.0,2,1,0.08577246392766634,0.1539285760372877,0.12814730033278465,0.7469229503959778,0.8804456405170922,0.8008169051137857,0.8627996567765324,0.7356244334056354,0.7713664322196834,0.0,0.0,0.0
pseudop_nc_2_n4_0_n8_2_skip0,"[4, 8, 8]",2,1493,256.0,2,0,0.11060479854544004,0.1591486819088459,0.1435687057673931,0.7081141055614373,0.826948612540388,0.7512219096857339,0.8019888631119244,0.6982619469911278,0.7198181133513333,0.0,0.0,0.0
pseudop_nc_1_n4_2_n8_3_skip1,"[4, 4, 4, 8, 8, 8]",5,1925,32.0,1,1,0.07481175288558006,0.12455264665186405,0.11399907432496548,0.7777414436243656,0.8972601637354699,0.8260879247270617,0.88215455808373,0.7715723082864269,0.8026621503506153,0.0,0.0,0.0
pseudop_nc_1_n4_2_n8_3_skip0,"[4, 4, 4, 8, 8, 8]",5,1397,32.0,1,0,0.1394741530219714,0.16917946562170982,0.13393626362085342,0.6470118836067615,0.7544430813288958,0.7627899632229371,0.7351920592819812,0.6537673397883608,0.745433196067733,0.0,0.0,0.0
pseudop_nc_1_n4_1_n8_3_skip1,"[4, 4, 8, 8, 8]",4,1757,64.0,1,1,0.08165700510144233,0.1310457605868578,0.10664685256779194,0.7667116597502805,0.8846548801887478,0.8327691361227256,0.8677906754458097,0.7620454407177784,0.8117192313038782,0.0,0.0,0.0
pseudop_nc_1_n4_1_n8_3_skip0,"[4, 4, 8, 8, 8]",4,1277,64.0,1,0,0.10904173602660497,0.1579742096364498,0.12063805386424065,0.7130441361483484,0.8350879084886191,0.813679332873986,0.8090547742336103,0.7100452893593621,0.7837811068627872,0.0,0.0,0.0
pseudop_nc_1_n4_0_n8_3_skip1,"[4, 8, 8, 8]",3,1589,128.0,1,1,0.08411974161863327,0.1499043945223093,0.12991213239729404,0.7441643379175962,0.8824954166978312,0.7996177539926925,0.8651798655584539,0.7351364199576522,0.7731716546713095,0.0,0.0,0.0
pseudop_nc_1_n4_0_n8_3_skip0,"[4, 8, 8, 8]",3,1157,128.0,1,0,0.11682352622350058,0.16405276209115982,0.14580560103058815,0.6929150365001765,0.8187864515893869,0.7562464487158892,0.7879521396489814,0.6656090295088477,0.7167373003411491,0.0,0.0,0.0
